,author,content,description,publishedAt,source,title,url,urlToImage
152,Editorial Team,"HSBC, Santander Consumr Finance and RBS have joined a £10 million funding round in Vizolution, a UK-based software-as-a-service company that helps institutions replace face-to-face interactions with remote channels. Used by 30 global enterprises from the fina… [+1354 chars]","HSBC, Santander Consumr Finance and RBS have joined a £10 million funding round in Vizolution, a UK-based software-as-a-service company that helps institutions replace face-to-face interactions with remote channels.",2018-11-01T10:40:00Z,"{'id': None, 'name': 'Finextra.com'}",Big banks join £10 million Vizolution funding round,https://www.finextra.com/newsarticle/32876/big-banks-join-10-million-vizolution-funding-round?utm_medium=rss&utm_source=finextrafeed,https://www.finextra.com/finextra-images/top_pics/xl/3833.jpg
153,,"According to a recent survey conducted by HSBC, Vietnamese businesses are among the worlds most optimistic about international trade prospects and also among the most confident when it comes to succeeding in the current environment. HSBCs latest report, Navig… [+2638 chars]",Only 19 percent of Vietnamese firms in a survey feel the ongoing U.S.-China trade friction would hinder their business over the next three years.,2018-11-04T12:00:00Z,"{'id': None, 'name': 'Vnexpress.net'}",Vietnamese enterprises unruffled by US-China trade war,https://e.vnexpress.net/news/business/economy/vietnamese-enterprises-unruffled-by-us-china-trade-war-3833559.html,https://vcdn-english.vnecdn.net/2018/11/02/Ctr153691051398321536910602680-9672-7356-1541156044_680x0.jpg
154,welcomeUniverseWorld,You can do 60 months interest-free transaction on your HSBC Visa Credit Card at Bing Lee store only. Simply bring your HSBC Visa card in-store to Bing Lee and ask the attendant to process an 'Add-on.' The minimum monthly repayment is the higher of $20 or 3% o… [+741 chars],You can do 60 months interest-free transaction on your HSBC Visa Credit Card at Bing Lee store only. Simply bring your HSBC Visa card in-store to Bing Lee and ask the attendant to process an 'Add-on.' The minimum monthly repayment is the higher of $20 or 3% o…,2018-11-03T21:28:56Z,"{'id': None, 'name': 'Ozbargain.com.au'}",Get 60 Months Interest Free from HSBC FINANCE with Bing Lee,https://www.ozbargain.com.au/node/413732,https://files.ozbargain.com.au/n/32/413732x.jpg?h=3a8f1161
155,"Simone McCarthy, Simone McCarthy","Banking giant HSBC on Saturday issued a security update on its e-wallet app which eliminated an option for users to change telephone numbers, two days after it was revealed that about 20 client accounts were compromised in a phishing incident. HSBC announced … [+3098 chars]","Banking giant HSBC on Saturday issued a security update on its e-wallet app which eliminated an option for users to change telephone numbers, two days after it was revealed that about 20 client accounts were compromised in a phishing incident. HSBC announced …",2018-11-11T08:25:24Z,"{'id': None, 'name': 'Scmp.com'}","HSBC issues security update on e-payment app PayMe, removing function to change user phone numbers",https://www.scmp.com/news/hong-kong/law-and-crime/article/2172670/hsbc-issues-security-update-e-payment-app-payme,https://cdn1.i-scmp.com/sites/default/files/styles/620x356/public/images/methode/2018/11/11/67dca970-e56d-11e8-9876-950c8650801f_image_hires_162614.JPG?itok=4Sq4QWhS
156,"Christy Leung, Simone McCarthy, Christy Leung, Simone McCarthy","Simple verification procedures for HSBC e-payment app PayMe allowed hackers to carry out unauthorised transactions after luring victims into disclosing their email passwords using phishing scams, a police source said on Friday. Cybersecurity experts have call… [+3101 chars]","Simple verification procedures for HSBC e-payment app PayMe allowed hackers to carry out unauthorised transactions after luring victims into disclosing their email passwords using phishing scams, a police source said on Friday. Cybersecurity experts have call…",2018-11-09T12:22:44Z,"{'id': None, 'name': 'Scmp.com'}",HSBC e-payment app PayMe under fire over ‘way too easy’ user ID verification after unauthorised transactions,https://www.scmp.com/news/hong-kong/law-and-crime/article/2172544/hsbc-e-payment-app-payme-under-fire-over-way-too-easy,https://cdn4.i-scmp.com/sites/default/files/styles/620x356/public/images/methode/2018/11/09/7e0e8282-e3e6-11e8-9876-950c8650801f_image_hires_202239.JPG?itok=_BvS3Jwl
157,Sandeep Kanihama,Note: All information on this page is subject to change. The use of this website constitutes acceptance of our user agreement. Please read our privacy policy and legal disclaimer. Trading foreign exchange on margin carries a high level of risk and may not be … [+1276 chars],"The analysis team at HSBC suggests that the USD-JPY will move lower in the months ahead, as they believe that the balance of cyclical and structural forces are gradually tilting to the downside for the pair. Key Quotes “On the cyclical front, our analysis sho…",2018-11-12T11:29:13Z,"{'id': None, 'name': 'Fxstreet.com'}",JPY: Safe-haven status locked in – HSBC,https://www.fxstreet.com/news/jpy-safe-haven-status-locked-in-hsbc-201811121129,https://editorial.azureedge.net/images/Markets/Currencies/Majors/USDJPY/businessman-and-money-icons-29441218_Large.jpg
158,,"The WGC-HSBC Champions typically has the top-ranked field of the fall PGA Tour season, and that was the case this past week in Shanghai. It's often the lone stop marquee players make on tour before year's end, given the large purse in the no-cut event and the… [+4289 chars]",It was a nice payday for all those in the field in Shanghai. Here's a breakdown of how much every player earned in the field at the WGC-HSBC Champions,2018-10-28T09:55:08Z,"{'id': None, 'name': 'Golfdigest.com'}",How much prize money each golfer earned at the 2018 WGC-HSBC Champions,https://www.golfdigest.com/story/how-much-prize-money-each-golfer-earned-at-the-2018-wgc-hsbc-champions,https://media.golfdigest.com/photos/5bd578c398f9027c6e0547c1/master/pass/xander-schauffele-wgc-hsbc-champions-2018-sunday-with-caddie.jpg
159,Ryan Herrington,"You have to give Tyrrell Hatton credit for the aggressive style he often displays on the course. The emotional Englishman is a pin-seeker, which comes with its ups and its downs. And because he is an emotional Englishman, we usually get some awesome expressio… [+1349 chars]",Tyrrell Hatton looked like he was about to make an ace during the first round of the WGC-HSBC Champions. But the flagstick on the par-3 fourth had other ideas,2018-10-25T11:28:11Z,"{'id': None, 'name': 'Golfdigest.com'}",Watch the cruel break Tyrrell Hatton gets as his ball tracks for a seeming hole-in-one,https://www.golfdigest.com/story/watch-the-cruel-break-tyrrell-hatton-gets-as-his-ball-tracks-for-a-seeming-hole-in-one,https://media.golfdigest.com/photos/5b8c62e4b769942d34139a94/master/pass/tyrrell-hatton-dell-technologies-saturday.jpg
160,Reuters Editorial,DUBAI (Reuters) - Scandal surrounding the killing of Saudi journalist Jamal Khashoggi has shrunk the attendance of senior executives from multinational companies at this week’s Future Investment Initiative conference in Riyadh. But the Gulf’s largest economy … [+3441 chars],Scandal surrounding the killing of Saudi journalist Jamal Khashoggi has shrunk the attendance of senior executives from multinational companies at this week's Future Investment Initiative conference in Riyadh.,2018-10-24T12:19:05Z,"{'id': 'reuters', 'name': 'Reuters'}",Factbox: Foreign investment in Saudi Arabia,https://www.reuters.com/article/us-saudi-investment-factbox/factbox-foreign-investment-in-saudi-arabia-idUSKCN1MY1NF,https://s3.reutersmedia.net/resources/r/?m=02&d=20181024&t=2&i=1318144097&w=1200&r=LYNXNPEE9N0ZL
161,Telegraph Reporters,"E ven after 14 years on Strictly Come Dancing, Craig Revel Horwood still doesn't feel his future on the show is secure. ""The BBC dont pay what they pay in America or on ITV,"" the Strictly judge said. ""Youre still on a limited budget and you dont know if youre… [+735 chars]","Even after 14 years on Strictly Come Dancing, Craig Revel Horwood still doesn't feel his future on the show is secure.",2018-10-22T18:13:24Z,"{'id': 'the-telegraph', 'name': 'The Telegraph'}",Strictly's Craig Revel Horwood: 'BBC don't pay as much as ITV would – I still have to suck up for a mortgage',https://www.telegraph.co.uk/tv/0/strictlys-craig-revel-horwood-bbc-dont-pay-much-itv-would/,
162,Canadian Kilometers,"Travelling abroad? Get the HomeTrust Preferred Visa - the only Canadian credit card with no foreign transaction fees AND no annual fees. Compared to other cards, this saves you up to 2.5% on purchases internationally! --- The Canadian credit card industry is … [+2547 chars]","The Canadian credit card industry is largely dominated by the Big 5 banks and American Express, although there have been cards with niche features trying to capture customers, like the Home Trust Preferred Visa. HSBC refreshed their premium credit cards last …",2018-10-17T06:54:23Z,"{'id': None, 'name': 'Boardingarea.com'}",Fantastic HSBC World Elite MasterCard Offer!,https://canadiankilometers.boardingarea.com/2018/10/16/fantastic-hsbc-mastercard-offer/,https://canadiankilometers.boardingarea.com/wp-content/uploads/2018/10/Screenshot-2018-10-16-23.38.01.png
163,Samburaj Das,"Reliance Industries, Indias largest private sector firm, has successfully participated in its first ever trade finance transaction powered by blockchain technology. In an industry first, Indian oil and energy conglomerate Reliance Industries completed a trade… [+1620 chars]","Reliance Industries, India’s largest private sector firm, has successfully participated in its first ever trade finance transaction powered by blockchain technology. In an industry first, Indian oil and energy conglomerate Reliance Industries completed a trad…",2018-11-05T12:21:35Z,"{'id': 'crypto-coins-news', 'name': 'Crypto Coins News'}",India’s Biggest Private Company Gets Paid on a Blockchain,https://www.ccn.com/indias-biggest-private-company-gets-paid-on-a-blockchain/,https://www.ccn.com/wp-content/uploads/2018/11/Reliance-Industries.jpg
164,,"£200 when you switch and stay with HSBC Advance. You must switch by 25th Nov 2018.If youre new to HSBC, get £150 by opening an Advance Bank Account through the Current Account Switch Service (CASS) and get a further £50 if you stay with us for 12 months. Inst… [+1193 chars]","£200 when you switch and stay with HSBC Advance. You must switch by 25th Nov 2018.If you’re new to HSBC, get £150 by opening an Advance Bank Account through the",2018-11-13T18:51:28Z,"{'id': None, 'name': 'Hotukdeals.com'}",133° - HSBC - £200 to join and stay if you switch to the advance account. UPDATE: Ends on the 25th Nov. Can’t refresh the original deal.,https://www.hotukdeals.com/deals/hsbc-200-to-join-and-stay-if-you-switch-to-the-advance-account-update-ends-on-the-25th-nov-cant-refresh-the-original-deal-3102900,https://images.hotukdeals.com/threads/thread_full_screen/default/3102900_1.jpg
165,,"SINGAPORE: While many tend to paint millennials as spoilt and self-entitled, this might actually be a one-sided view of the generation. A recent HSBC Private Banking report, Essence of Enterprise, found that in fact, Singapore millennial business owners are i… [+5350 chars]","Looking at young millennial business owners makes me optimistic about Singapore’s future, says one HSBC observer.",2018-10-21T22:28:12Z,"{'id': None, 'name': 'Channelnewsasia.com'}",Commentary: Young Singaporean business owners are more independent than their international peers,https://www.channelnewsasia.com/news/commentary/young-singaporean-business-owners-more-independent-10839722,http://www.channelnewsasia.com/image/9292554/16x9/991/557/385472c93353ef59edcfaed4a5fcac5/pW/start-up-2---3496658--1-.png
166,,"LONDON: Hackers breached some HSBC customers' accounts in the United States in October and accessed their information, the bank said in a regulatory filing on Tuesday. It was not immediately clear how many accounts were breached or whether any money was stole… [+373 chars]","LONDON: Hackers breached some HSBC customers' accounts in the United States in October and accessed their information, the bank said in a regulatory filing on Tuesday. It was not immediately clear how many accounts were breached or whether any money was stole…",2018-11-06T16:10:31Z,"{'id': None, 'name': 'Channelnewsasia.com'}",HSBC discloses customer accounts hacked at its US bank,https://www.channelnewsasia.com/news/business/hsbc-discloses-customer-accounts-hacked-at-its-us-bank-10902892,http://www.channelnewsasia.com/image/10902890/16x9/991/557/aa416b838d8f450e250f718a7be698ec/uY/file-photo--the-hsbc-logo-is-seen-on-a-top-roof-of-the-main-branch-in-beirut-1.jpg
167,,"Maruti Suzuki India stock declined over 3 percent intraday Wednesday after global brokerage firm HSBC slashed target price by 10 percent on likely margin pressure risk. The research house reduced target price to Rs 9,000 (implying potential upside of 26 perce… [+1056 chars]","Maruti Suzuki stock, so far, corrected more than 26 percent year-to-date.",2018-10-17T08:40:07Z,"{'id': None, 'name': 'Moneycontrol.com'}","Maruti Suzuki shares fall 3% after HSBC cuts target price by 10%, sees margin pressure risk",https://www.moneycontrol.com/news/business/markets/maruti-suzuki-shares-fall-3-after-hsbc-cuts-target-price-by-10-sees-margin-pressure-risk-3055651.html,https://static-news.moneycontrol.com/static-mcnews/2018/09/Maruti-Suzuki-Ertiga-770x433.jpg
168,FXStreet Team,Note: All information on this page is subject to change. The use of this website constitutes acceptance of our user agreement. Please read our privacy policy and legal disclaimer. Trading foreign exchange on margin carries a high level of risk and may not be … [+1276 chars],Russia HSBC Manufacturing PMI	 up to 51.3 in October from previous 50,2018-11-01T11:57:28Z,"{'id': None, 'name': 'Fxstreet.com'}",Russia HSBC Manufacturing PMI up to 51.3 in October from previous 50,https://www.fxstreet.com/news/russia-hsbc-manufacturing-pmi-up-to-513-in-october-from-previous-50-201811011157,https://editorial.blob.core.windows.net/images/Psychology/businessman-reading-newspaper-52940474_Small.jpg
169,Steven Melendez,"HSBC has experienced a data breach affecting some of its U.S. banking customers. According to a letter to customers shared by the California Attorney General’s Office, customer accounts were accessed between October 4 and October 14, with attackers able to st… [+1502 chars]","HSBC has experienced a data breach affecting some of its U.S. banking customers. According to a letter to customers shared by the California Attorney General’s Office, customer accounts were accessed between October 4 and October 14, with attackers able to st…",2018-11-07T14:17:47Z,"{'id': None, 'name': 'Fastcompany.com'}",HSBC suffers data breach in apparent “credential stuffing” attack,https://www.fastcompany.com/90264030/what-is-credential-stuffing-hsbc-data-breach-possibly-enabled-by-re-used-passwords?partner=rss&utm_source=rss&utm_medium=feed&utm_campaign=rss+fastcompany&utm_content=rss,"https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2018/11/p-1-hsbc-alerts-some-us-customers-to-data-breach.jpg"
